letter,cv,voicing,place,manner,name,sampa
dʰ,consonant,voiced,alveolar,aspirated plosive,Aspirated voiced alveolar plosive,d_h
tʰ,consonant,voiceless,alveolar,aspirated plosive,Aspirated voiceless alveolar plosive,t_h
tʼ,consonant,voiceless,alveolar,ejective,Alveolar ejective,t_>
sʼ,consonant,voiceless,alveolar,ejective fricative,Alveolar ejective fricative,s_>
s,consonant,voiceless,alveolar,fricative,Voiceless alveolar fricative,s
z,consonant,voiced,alveolar,fricative,Voiced alveolar fricative,z
ɗ,consonant,voiced,alveolar,implosive,Voiced alveolar implosive,d_<
dʷ,consonant,voiced,alveolar,labialized plosive,Labialized voiceless alveolar plosive,d_h
tʷ,consonant,voiceless,alveolar,labialized plosive,Labialized voiceless alveolar plosive,t_h
l,consonant,voiced,alveolar,lateral approximant,Alveolar lateral approximant,l
ɬ,consonant,voiceless,alveolar,lateral fricative,Voiceless alveolar lateral fricative,K
ɮ,consonant,voiced,alveolar,lateral fricative,Voiced alveolar lateral fricative,K\\
n,consonant,voiced,alveolar,nasal,Alveolar nasal,n
n̥,consonant,voiceless,alveolar,nasal,Voiceless alveolar nasal,n_0
d,consonant,voiced,alveolar,plosive,Voiced alveolar plosive,d
t,consonant,voiceless,alveolar,plosive,Voiceless alveolar plosive,t
ɾ,consonant,voiced,alveolar,tap,Alveolar tap,4
r,consonant,voiced,alveolar,trill,Alveolar trill,r
bʰ,consonant,voiced,bilabial,aspirated plosive,Aspirated voiced bilabial plosive,b_h
pʰ,consonant,voiceless,bilabial,aspirated plosive,Aspirated voiceless bilabial plosive,p_h
pʼ,consonant,voiceless,bilabial,ejective,Bilabial ejective,p_>
ɸ,consonant,voiceless,bilabial,fricative,Voiced bilabial fricative,B
β,consonant,voiced,bilabial,fricative,Voiced bilabial fricative,B
ɓ,consonant,voiced,bilabial,implosive,Voiced bilabial implosive,b_<
bʷ,consonant,voiced,bilabial,labialized plosive,Labialized voiceless bilabial plosive,b_h
pʷ,consonant,voiceless,bilabial,labialized plosive,Labialized voiceless bilabial plosive,p_h
m,consonant,voiced,bilabial,nasal,Bilabial nasal,m
m̥,consonant,voiceless,bilabial,nasal,Voiceless bilabial nasal,m_0
b,consonant,voiced,bilabial,plosive,Voiced bilabial plosive,b
p,consonant,voiceless,bilabial,plosive,Voiceless bilabial plosive,p
ʙ,consonant,voiced,bilabial,trill,Bilabial trill,%
ð,consonant,voiced,dental,fricative,Voiced dental fricative,D
θ,consonant,voiceless,dental,fricative,Voiceless dental fricative,T
d̪,consonant,voiced,dental,plosive,Voiced dental plosive,d_d
t̪,consonant,voiceless,dental,plosive,Voiceless dental plosive,t_d
h,consonant,voiceless,glottal,fricative,Voiceless glottal fricative,h
ʔ,consonant,voiceless,glottal,plosive,Glottal plosive,?
ʋ,consonant,voiced,labiodental,approximant,Labiodental approximant,P
f,consonant,voiceless,labiodental,fricative,Voiceless labiodental fricative,f
v,consonant,voiced,labiodental,fricative,Voiced labiodental fricative,v
ɱ,consonant,voiced,labiodental,nasal,Labiodental nasal,F
ɱ̥,consonant,voiceless,labiodental,nasal,Labiodental nasal,F_0
j,consonant,voiced,palatal,approximant,Palatal approximant,j
ç,consonant,voiceless,palatal,fricative,Voiceless palatal fricative,C
ʝ,consonant,voiced,palatal,fricative,Voiced palatal fricative,J\\
ʎ,consonant,voiced,palatal,lateral approximant,Palatal lateral approximant,L
ɲ,consonant,voiced,palatal,nasal,Palatal nasal,J
c,consonant,voiceless,palatal,plosive,Voiceless palatal plosive,c
ɟ,consonant,voiced,palatal,plosive,Voiced palatal stop,J\
ʃ,consonant,voiceless,palato-alveolar,fricative,Voiceless palato-alveolar fricative,S
ʒ,consonant,voiced,palato-alveolar,fricative,Voiced palato-alveolar fricative,Z
ɽ,consonant,voiced,retroflex,flap,Retroflex flap,r`
ʂ,consonant,voiceless,retroflex,fricative,Voiceless retroflex fricative,s`
ʐ,consonant,voiced,retroflex,fricative,Voiced retroflex sibilant,z`
ɭ,consonant,voiced,retroflex,lateral approximant,Retroflex lateral approximant,l`
ɳ,consonant,voiced,retroflex,nasal,Retroflex nasal,n`
ɖ,consonant,voiced,retroflex,plosive,Voiced retroflex plosive,d`
ʈ,consonant,voiceless,retroflex,plosive,Voiceless retroflex plosive,t`
qʰ,consonant,voiceless,uvular,aspirated plosive,Aspirated voiceless uvular plosive,q_h
qʼ,consonant,voiceless,uvular,ejective,Uvular ejective,q_>
ʁ,consonant,voiced,uvular,fricative,Voiced uvular fricative,R
χ,consonant,voiceless,uvular,fricative,Voiceless uvular fricative,X
q,consonant,voiceless,uvular,plosive,Voiceless uvular plosive,q
ɰ,consonant,voiced,velar,approximant,Velar approximant,M\\
gʱ,consonant,voiced,velar,aspirated plosive,Aspirated voiced velar plosive,g_h
kʰ,consonant,voiceless,velar,aspirated plosive,Aspirated voiceless velar plosive,k_h
kʼ,consonant,voiceless,velar,ejective,Velar ejective,k_>
ɣ,consonant,voiced,velar,fricative,Voiced velar fricative,G
x,consonant,voiceless,velar,fricative,Voiceless velar fricative,x
ɠ,consonant,voiced,velar,implosive,Voiced velar implosive,g_<
gʷ,consonant,voiced,velar,labialized plosive,Labialized voiceless velar plosive,g_h
kʷ,consonant,voiceless,velar,labialized plosive,Labialized voiceless velar plosive,k_h
ŋ,consonant,voiced,velar,nasal,Velar nasal,N
g,consonant,voiced,velar,plosive,Voiced velar plosive,g
k,consonant,voiceless,velar,plosive,Voiceless velar plosive,k
c’,consonant,voiceless,palatal,ejective,Voiceless palatal ejective,
cʰ,consonant,voiceless,palatal,aspirated plosive,Voiceless palatal aspirated plosive,
ɕ,consonant,voiceless,Alveo-palatal,fricative,Voiceless alveolo-palatal fricative,
d͡z,consonant,voiced,alveolar,affricate,Voiced alveolar affricate,
d͡ʒ,consonant,voiced,palato-alveolar,affricate,Voiced palato-alveolar affricate,
d͡ʒʰ,consonant,voiced,palato-alveolar,Aspirated affricate,Voiced aspirated palato-alveolar affricate,
ɖʰ,consonant,voiced,retroflex,aspirated plosive,Voiced aspirated retroflex plosive,
g͡b,consonant,voiced,Labio-velar,plosive,Voiced labial–velar stop,
ɢ,consonant,voiced,uvular,plosive,Voiced uvular plosive,G\
ħ,consonant,voiceless,pharyngeal,fricative,Voiceless pharyngeal fricative,X\
ɦ,consonant,voiced,glottal,fricative,Voiced glottal fricative,h\
L,consonant,voiced,lateral,approximant,Velar lateral approximant,
n̪̪,consonant,voiced,dental,nasal,Voiced dental nasal,
ɴ,consonant,voiced,uvular,nasal,voiced uvular nasal,
q’,consonant,voiceless,uvular,ejective,voiceless uvular ejective,
ʀ,consonant,voiced,uvular,trill,Uvular trill,
ɹ,consonant,voiced,alveolar,approximant,Voiced alveolar approximant,
ɻ,consonant,voiced,retroflex,approximant,Voiced retroflex approximant,
s’,consonant,voiceless,alveolar,ejective fricative,Voiceless alveolar ejective fricative,
ʃ’,consonant,voiceless,palatal,ejective fricative,Voiceless palatal ejective fricative,
t͡s,consonant,voiceless,alveolar,affricate,Voiceless alveolar affricate,
ts’,consonant,voiceless,alveolar,Ejective affricate,Voiceless alveolar ejective affricate,
tsʰ,consonant,voiceless,alveolar,Aspirated affricate,Voiceless alveolar aspirated affricate,
t͡ʃ,consonant,voiceless,postalveolar,affricate,Voiceless postalveolar affricate,
t͡ʃ’,consonant,voiceless,postalveolar,Ejective affricate,Voiceless postalveolar ejective affricate,
t͡ʃʰ,consonant,voiceless,postalveolar,Aspirate affricate,Voiceless postalveolar aspirated affricate,
ʈ’,consonant,voiceless,retroflex,ejective,Voiceless retroflex ejective,
ʈʰ,consonant,voiceless,retroflex,aspirated plosive,Voiceless retroflex aspirated plosive,
ɥ,consonant,voiced,labialized palatal,approximant,Labialized palatal approximant,
w,consonant,voiced,labiovelar,approximant,Voiced labiovelar approximant,
wʰ,consonant,voiceless,labiovelar,aspirated approximant,Aspirated voiceless labiovelar approximant,
x’,consonant,voiceless,velar,ejective fricative,Velar ejective fricative,
ʑ,consonant,voiced,Alveo-palatal,fricative,Voiced alveolo-palatal sibilant,
ʡ,consonant,voiceless,epiglottal,plosive,Epiglottal plosive,
